CODFILIAL;CLASSIFICACAO;CODPROD;PRODUTO;CODFORNEC;FORNECEDOR;VALOR_ULTIMA_ENTRADA;QTD_TOTAL_ESTOQUE;QTD_GIRO_DIA;COBERTURA_ESTOQUE_ORIGINAL;COBERTURA_ESTOQUE_AJUSTADA;QTD_VENDAS_90D;QTD_DIAS_ZERADOS;VALOR_ESTOQUE;GIRO_MEDIO_CORRIGIDO;VALOR_EXCEDENTE
1;Farma;184;DORMEC 100MG (AC ACETIL) INF 20X10200COM;55;IMEC- INDUSTRIA DE MEDICAMENTOS CUSTODIA LTDA;8,604921;2092;68,971;30,33;30,33;6804;0;18001,49;75,6;0,0
1;HB;221;ATADURA CREP 12CMX1,8M CYSNE 1UN CREMER;791794;CREMER S.A;2,315497;2124;31,742;66,91;66,91;2916;0;4918,12;32,4;507,91
1;HB;230;ATADURA CREP 15CMX1,8M CYSNE 1UN CREMER;791794;CREMER S.A;2,870169;1969;31,689;62,14;62,14;2790;0;5651,36;31,0;194,62
1;HB;248;ATADURA CREP 08CMX1,8M MAXPRESS 1UN CREM;791794;CREMER S.A;2,2;96;0,932;103,0;103,0;84;0;211,2;0,93;88,17
1;HB;400;ATADURA CREP 30CMX1,8M CYSNE 1UN CREMER;791794;CREMER S.A;5,543862;210;2,67;78,65;78,65;203;0;1164,21;2,26;276,07
1;HB;418;ALGODAO BOLINHAS 95G CREMER;791794;CREMER S.A;6,207675;151;3,816;39,57;39,57;342;0;937,36;3,8;0,0
1;HB;426;COMPRESSA DE GAZE CREM MAX 40X5(DISPLAY);791794;CREMER S.A;30,9903;5;1,796;2,78;2,78;171;0;154,95;1,9;0,0
1;HB;434;ATADURA CREP 10CMX1,8M CYSNE 1UN CREMER;791794;CREMER S.A;1,947369;480;48,932;9,81;9,81;4170;0;934,74;46,33;0,0
1;HB;442;ALGODAO HIDROFILO 250G CREMER;791794;CREMER S.A;12,469504;60;0,447;134,23;134,23;36;0;748,17;0,4;413,74
1;HB;524;PRESERV PRUDENCE MIX 4 SABORES 12UND;32816;DKT DO BRASIL PROD.DE USO PESS (PRUDENCE);12,407503;47;0,087;540,23;540,23;9;0;583,15;0,1;518,38
1;HB;578;PRESERV PRUDENCE CLASSICO C/12;32816;DKT DO BRASIL PROD.DE USO PESS (PRUDENCE);9,958933;17;0,447;38,03;38,03;46;0;169,3;0,51;0,0
1;HB;663;ALGODAO HIDROFILO 25G CREMER;791794;CREMER S.A;2,21438;142;0,427;332,55;332,55;31;0;314,44;0,34;257,71
1;HB;817;ALGODAO HIDROFILO 500G CREMER;791794;CREMER S.A;22,891082;112;0,33;339,39;339,39;23;0;2563,8;0,26;2110,55
1;Farma;850;SANASAR (BENZ+BENZI) SAB 100MG/G 80G;789423;KLEY HERTZ DISTRIBUIDORA LTDA;7,406362;151;0,0;;9999,0;0;0;1118,36;0,0;0,0
1;Farma;864;SONARIN SOL NASAL ADULTO 0,5MG/ML 30ML;33928;GEOLAB IND FARMACEUTICA S/A;2,013856;1230;0,0;;9999,0;0;0;2477,04;0,0;0,0
1;Farma;876;EFEDERME (VIT A+TRICLOSANO+PANTE) CR 30G;789423;KLEY HERTZ DISTRIBUIDORA LTDA;12,270508;26;1,01;25,74;25,74;88;0;319,03;0,98;0,0
1;Farma;884;EFEDERME CR 55G;789423;KLEY HERTZ DISTRIBUIDORA LTDA;18,689161;197;1,291;152,59;152,59;125;0;3681,76;1,39;1510,2
1;Farma;906;GALENOGAL ELIXIR(SALIX ALBA) 600MG 150ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;16,624891;56;0,427;131,15;131,15;44;0;930,99;0,49;292,11
1;Farma;957;GOTAS PRECIOSAS HERTZ SOL 30ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;11,334746;612;8,019;76,32;76,32;742;0;6936,86;8,24;0,0
1;Farma;1031;RITMONEURAN RTM (PASSIFLORA) 20CAP;789423;KLEY HERTZ DISTRIBUIDORA LTDA;7,808207;9;27,524;0,33;0,33;2760;0;70,27;30,67;0,0
1;Farma;1120;PROCTOSAN POM 20G;789423;KLEY HERTZ DISTRIBUIDORA LTDA;12,74392;329;8,087;40,68;40,68;692;0;4192,75;7,69;0,0
1;Farma;1163;RESFENOL (PARAC+CLORF+FENIL) LIQ 100ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;11,86855;62;1,049;59,1;59,1;108;0;735,85;1,2;0,0
1;Farma;1600;RITMONEURAN RTM (PASSIFLORA) SOL 100ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;10,982688;14;0,864;16,2;16,2;83;0;153,76;0,92;0,0
1;HB;1643;ATADURA CREP 06CMX1,8M CYSNE 1UN CREMER;791794;CREMER S.A;1,267772;1368;16,893;80,98;80,98;1338;0;1734,31;14,87;449,32
1;Farma;1866;APIS FRESH SPRAY MEL PROPOLIS 35ML ARTE;6195;ARTE NATIVA PRODUTOS NATURAIS LTDA;4,299015;133;0,0;;9999,0;0;0;571,77;0,0;0,0
1;Farma;1869;APIS FRESH SPRAY MEL PROPOLIS MENTA 35ML;6195;ARTE NATIVA PRODUTOS NATURAIS LTDA;4,299015;23;0,0;;9999,0;0;0;98,88;0,0;0,0
1;Farma;1870;APIS FRESH SPRAY MEL PROPOLIS ROMA 35ML;6195;ARTE NATIVA PRODUTOS NATURAIS LTDA;4,299015;73;0,0;;9999,0;0;0;313,83;0,0;0,0
1;Farma;1873;LACTUGOLD FRUTAS VERMELHAS 120ML ARTE NA;6195;ARTE NATIVA PRODUTOS NATURAIS LTDA;10,996136;3;0,0;;9999,0;0;0;32,99;0,0;0,0
1;Farma;1877;AGUA OXIGENADA 30VOL 90ML FARMAX;793261;FARMAX DISTRIBUIDORA S.A;1,587684;40;1,689;23,68;23,68;162;0;63,51;1,8;0,0
1;Farma;1878;AGUA OXIGENADA CR 40VOL DESC 90ML FARMAX;793261;FARMAX DISTRIBUIDORA S.A;1,592826;50;2,806;17,82;17,82;289;0;79,64;3,21;0,0
1;Farma;1910;DEXAVISON COLIRIO (DEXA+NEOMICINA) 5ML;30791;LABORATORIO TEUTO BRASILEIRO S/A;2,12877;9692;41,437;233,9;233,9;4066;0;20632,04;45,18;12693,25
1;HB;2005;PRESERV PRUDENCE ULTRA SENSIVEL L8P6;32816;DKT DO BRASIL PROD.DE USO PESS (PRUDENCE);7,619618;77;0,223;345,29;345,29;19;0;586,71;0,21;484,76
1;Farma;2062;CANDITRAT (NISTATINA)100.000UI/ML50ML+CP;30791;LABORATORIO TEUTO BRASILEIRO S/A;4,245796;1514;16,126;93,89;93,89;1491;0;6428,14;16,57;266,33
1;Farma;2089;ALBENDAZOL 40MG 10ML GEN TB;30791;LABORATORIO TEUTO BRASILEIRO S/A;1,875345;14553;26,068;558,27;558,27;2375;0;27291,9;26,39;22892,11
1;Farma;2171;APIS FRESH SPRAY MEL EXTRA FORTE 35ML;6195;ARTE NATIVA PRODUTOS NATURAIS LTDA;4,299015;2;1,359;1,47;1,47;92;0;8,6;1,02;0,0
1;Farma;2445;NAPROX (NAPROXENO) 500MG 20COM;30791;LABORATORIO TEUTO BRASILEIRO S/A;6,570111;186;5,437;34,21;34,21;518;0;1222,04;5,76;0,0
1;Farma;2526;HEPATILON LIQ 150ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;12,103789;70;4,223;16,58;16,58;395;0;847,27;4,39;0,0
1;Farma;2704;MASSAGEOL POM 30G;47252;HYPERA S.A;5,296534;357;14,379;24,83;24,83;1311;0;1890,86;14,57;0,0
1;Farma;2771;DEXCLORFENIRAMINA XPE 100ML GEN TB;30791;LABORATORIO TEUTO BRASILEIRO S/A;2,338514;277;5,573;49,7;49,7;553;0;647,77;6,14;0,0
1;Farma;2814;COMPLEXO B 50COM ARTE NATIVA;6195;ARTE NATIVA PRODUTOS NATURAIS LTDA;3,761544;9;0,0;;9999,0;0;0;33,85;0,0;0,0
1;Farma;3255;SULFA+TRIMET 400+80MG 20COM GEN TEUTO;30791;LABORATORIO TEUTO BRASILEIRO S/A;4,064937;2535;23,903;106,05;106,05;2047;0;10304,62;22,74;1559,54
1;HB;3387;ALGODAO MULTIUSO ZIG ZAG TOPZ 25G;791794;CREMER S.A;1,834728;672;9,447;71,13;71,13;828;0;1232,94;9,2;192,92
1;HB;3778;COMPRESSA DE GAZE EST 11F 10UN CREMER;791794;CREMER S.A;1,511805;3339;73,175;45,63;45,63;6589;0;5047,92;73,21;0,0
1;HB;3808;FITA P/FRALDA LUXO ROSA CREMER 19MMX20M;791794;CREMER S.A;2,557993;357;5,485;65,09;65,09;474;0;913,2;5,27;71,41
1;Farma;3816;DIASEC (LOPERAMIDA) 2MG 12COM;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);2,13894;1185;24,835;47,71;47,71;2353;0;2534,64;26,14;0,0
1;Farma;3824;NEO FEDIPINA (NIFEDIPINA) 10MG 30COM;47252;HYPERA S.A;13,511471;210;5,35;39,25;39,25;505;0;2837,41;5,61;0,0
1;Farma;4006;ANTIMAIS SEPTICO SPR 50ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;8,302879;305;7,078;43,09;43,09;627;0;2532,38;6,97;0,0
1;Farma;4839;COLIRIO TEUTO 20ML;30791;LABORATORIO TEUTO BRASILEIRO S/A;2,524164;14800;116,32;127,24;127,24;10282;0;37357,63;114,24;10933,65
1;Farma;4847;BELFAREN (DICLOFENACO SODICO) 50MG 20COM;2378;BELFAR LTDA;1,250438;2954;50,155;58,9;58,9;5115;0;3693,79;56,83;0,0
1;Farma;4863;DIGESTIL (BROMOPRIDA) GTS 4MG/ML 20ML;30791;LABORATORIO TEUTO BRASILEIRO S/A;2,075305;13069;32,65;400,28;400,28;2748;0;27122,16;30,53;21023,94
1;Farma;4871;EZOPEN (ACICLOVIR) 200MG 25COM;30791;LABORATORIO TEUTO BRASILEIRO S/A;6,110207;530;4,35;121,84;121,84;355;0;3238,41;3,94;846,28
1;Farma;5053;FENAFLAN GEL (DICLO DIETILAMONIO) 60G;30791;LABORATORIO TEUTO BRASILEIRO S/A;4,717522;367;8,107;45,27;45,27;777;0;1731,33;8,63;0,0
1;Farma;5401;FUROSEMIDA 40MG 20COM GEN TEUTO;30791;LABORATORIO TEUTO BRASILEIRO S/A;1,773975;3258;16,67;195,44;195,44;1404;0;5779,61;15,6;3118,1
1;Farma;5487;CETOCORT (CETOCONAZOL+BETA) CR 30G;30791;LABORATORIO TEUTO BRASILEIRO S/A;4,25754;145;5,485;26,44;26,44;500;0;617,34;5,56;0,0
1;Farma;5789;BACLOFEN (BACLOFENO) 10MG 20COM;30791;LABORATORIO TEUTO BRASILEIRO S/A;2,696442;781;33,767;23,13;23,13;3277;0;2105,92;36,41;0,0
1;Farma;5916;MASSAGEOL AER 120ML;47252;HYPERA S.A;12,043639;12752;194,417;65,59;65,59;17760;0;153580,48;197,33;0,0
1;Farma;5975;AFOPIC (ACIDO FOLICO) 5MG 20COM;30791;LABORATORIO TEUTO BRASILEIRO S/A;2,65234;2436;26,184;93,03;93,03;2564;0;6461,1;28,49;210,44
1;Farma;6025;ASMOFEN (CETOTIFENO) XPE 120ML;30791;LABORATORIO TEUTO BRASILEIRO S/A;3,152607;63;2,233;28,21;28,21;205;0;198,61;2,28;0,0
1;Farma;6181;NEO FEDIPINA (NIFEDIPINA) 20MG 30COM;47252;HYPERA S.A;6,557254;940;20,913;44,95;44,95;1966;0;6163,82;21,84;0,0
1;Farma;6580;TINTURA DE IODO 2% FARMAX  30ML;793261;FARMAX DISTRIBUIDORA S.A;3,831786;310;8,369;37,04;37,04;844;0;1187,85;9,38;0,0
1;HB;6742;FITA MICROPOROSA BRANCA 1,2CMX4,5M CREM;791794;CREMER S.A;3,47109;644;4,738;135,92;135,92;370;0;2235,38;4,11;1248,6
1;HB;6769;FITA MICROPOROSA BRANCA 5CMX4,5M CREMER;791794;CREMER S.A;10,058572;416;5,252;79,21;79,21;437;0;4184,37;4,86;1014,79
1;Farma;7080;NEUTROGERM 0,5% LIQ 150ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;13,160073;50;0,194;257,73;257,73;18;0;658,0;0,2;428,22
1;Farma;7128;CETOPROFENO 50MG 24CAP GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;9,57823;154;3,087;49,89;49,89;285;0;1475,05;3,17;0,0
1;Farma;7137;PLAGEX (METOCLOPRAMIDA) 4MG/ML 10ML;30791;LABORATORIO TEUTO BRASILEIRO S/A;1,325704;5;0,0;;9999,0;0;0;6,63;0,0;0,0
1;Farma;7218;TOTALVITA OMEGA 3 120CAP;789249;FORHEALTH NUTRICIONAL EIRELI-ME;14,83686;1;0,0;;9999,0;0;0;14,84;0,0;0,0
1;Farma;7226;STILGRIP (PARAC+CLORF+FENIL) PO 50SACHES;789423;KLEY HERTZ DISTRIBUIDORA LTDA;34,838462;27;7,621;3,54;3,54;785;0;940,64;8,72;0,0
1;Farma;7838;RIFOTRAT (RIFAMICINA) SPRAY 10MG 20ML;33057;NATULAB LABORATORIO LTDA;6,356;14351;98,233;146,09;146,09;8576;0;91214,96;95,29;35021,2
1;Farma;8000;EXTRATO DE PROPOLIS ALCOOLICO 20ML ARTE;6195;ARTE NATIVA PRODUTOS NATURAIS LTDA;5,078513;4;0,0;;9999,0;0;0;20,31;0,0;0,0
1;Farma;8451;CALOTRAT CALICIDA (ACID SALICILICO) 5ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;7,225696;158;8,913;17,73;17,73;766;0;1141,66;8,51;0,0
1;Farma;9191;METRONIDAZOL GEL VAG 10APLIC 50G GEN TB;30791;LABORATORIO TEUTO BRASILEIRO S/A;5,390783;87;17,544;4,96;4,96;1641;0;469,0;18,23;0,0
1;Farma;9660;NEO METRODAZOL (METRONIDAZOL)250MG 20COM;47252;HYPERA S.A;4,215349;19;1,039;18,29;18,29;99;0;80,09;1,1;0,0
1;Farma;10359;PROCTOSAN CARE 100ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;12,177302;12;2,595;4,62;4,62;96;0;146,13;1,07;0,0
1;Farma;10383;TERMOMETRO DIGITAL LARANJA G-TECH;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;7,897482;35;0,515;67,96;67,96;83;0;276,41;0,92;0,0
1;Farma;10430;PROPALOL (PROPRANOLOL ) 40MG 40COM;31305;LABORATORIO GLOBO LTDA;2,463342;795;1,388;572,77;572,77;105;0;1958,36;1,17;1650,64
1;Farma;10448;RENALAPRIL (ENALAPRIL) 20MG 30COM;47252;HYPERA S.A;5,259716;1415;29,32;48,26;48,26;2670;0;7442,5;29,67;0,0
1;Farma;10464;RENALAPRIL (ENALAPRIL) 10MG 30COM ;47252;HYPERA S.A;4,51387;768;16,534;46,45;46,45;1505;0;3466,65;16,72;0,0
1;Farma;10847;FLOGOLAB COLUTORIO 150ML;33286;MULTILAB IND E COM DE PROD FARMAC LTDA (MARCAS);2,8359;2;0,0;;9999,0;0;0;5,67;0,0;0,0
1;Farma;10855;AMPICILAB (AMPICILINA) 500MG 10CAP;33286;MULTILAB IND E COM DE PROD FARMAC LTDA (MARCAS);5,311764;34;1,699;20,01;20,01;114;0;180,6;1,27;0,0
1;Farma;11002;TRILAX (PARAC+CARIS+DICL+CAF) 12COM;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);5,89642;76;2,262;33,6;33,6;200;0;448,13;2,22;0,0
1;Farma;11010;SINVASTACOR (SINVASTATINA) 40MG 30COM;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);4,997654;3089;51,087;60,47;60,47;5153;0;15437,75;57,26;0,0
1;Farma;11029;AMLOVASC (ANLODIPINO) 5MG 30COM;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);2,179379;93;0,786;118,32;118,32;72;0;202,68;0,8;48,51
1;Farma;11037;AMLOVASC (ANLODIPINO) 10MG 30COM;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);3,467719;1;0,738;1,36;1,36;67;0;3,47;0,74;0,0
1;Farma;11096;ENAPROTEC (ENALAPRIL) 5MG 30COM;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);7,51441;3;0,0;;9999,0;0;0;22,54;0,0;0,0
1;Farma;11371;NIMELIT (NIMESULIDA) 50MG/ML GTS 15ML;30;VITAMEDIC IND FARMACEUTICA LTDA;1,418627;1;0,0;;9999,0;0;0;1,42;0,0;0,0
1;Farma;11525;RENALAPRIL (ENALAPRIL) 5MG 30COM;47252;HYPERA S.A;4,996356;732;14,835;49,34;49,34;1536;0;3657,33;17,07;0,0
1;Farma;11606;DORFLEX (DIP+ORF+CAF) (2X12) 24COM;793056;OPELLA HEALTHCARE BRAZIL LTDA - SANOFI;11,434424;126;2,35;53,62;53,62;182;0;1440,74;2,02;0,0
1;Farma;11614;CASTANHA DA INDIA 100MG 30COM GLB;31305;LABORATORIO GLOBO LTDA;8,144205;616;1,65;373,33;373,33;169;0;5016,83;1,88;3807,4
1;Farma;12181;BUSCOPAN COMPOSTO(6,67+333,4MG/ML) 20ML;47252;HYPERA S.A;18,124956;2397;108,398;22,11;22,11;11240;0;43445,52;124,89;0,0
1;Farma;12432;AMBROXOL XPE ADT 30MG/5ML 120ML GEN GLB;31305;LABORATORIO GLOBO LTDA;3,558343;6;8,155;0,74;0,74;840;0;21,35;9,33;0,0
1;Farma;12475;ANEMIPLUS (SULFATO FERROSO) 50COM;31305;LABORATORIO GLOBO LTDA;4,427304;7;0,699;10,01;10,01;72;0;30,99;0,8;0,0
1;Farma;12521;BENZIN (BENZOATO+BENZILA) SAB 60G;31305;LABORATORIO GLOBO LTDA;4,267959;565;3,99;141,6;141,6;359;0;2411,4;3,99;878,73
1;Farma;12564;CETOMICOSS (CETOCONAZOL) 200MG 30COM;31305;LABORATORIO GLOBO LTDA;8,58144;146;0,612;238,56;238,56;63;0;1252,89;0,7;780,22
1;Farma;12572;CETOMICOSS (CETOCONAZOL) BISN CR 20G;31305;LABORATORIO GLOBO LTDA;3,557356;12;0,0;;9999,0;0;0;42,69;0,0;0,0
1;Farma;12823;CAPTOCORD (CAPTOPRIL) 25MG 30COM;31305;LABORATORIO GLOBO LTDA;2,078085;326;7,194;45,32;45,32;695;0;677,46;7,72;0,0
1;Farma;12840;CAPTOCORD (CAPTOPRIL) 50MG 30COM;31305;LABORATORIO GLOBO LTDA;3,054584;493;3,068;160,69;160,69;321;0;1505,91;3,57;662,47
1;Farma;12866;SINVASTATINA 40MG 30COM GEN GLB;31305;LABORATORIO GLOBO LTDA;4,076184;2704;2,476;1092,08;1092,08;259;0;11022,0;2,88;10113,66
1;Farma;12874;SINVASTATINA 20MG 30COM GEN GLB;31305;LABORATORIO GLOBO LTDA;2,159222;12822;37,583;341,16;341,16;2886;0;27685,54;32,07;20381,93
1;Farma;12920;NORXACIN (NORFLOXACINO) 400MG 14COM;31305;LABORATORIO GLOBO LTDA;5,811129;19;0,456;41,67;41,67;23;0;110,41;0,26;0,0
1;Farma;13030;PROPRANOLOL 40MG 40COM GEN GLB;31305;LABORATORIO GLOBO LTDA;2,042576;166;4,631;35,85;35,85;330;0;339,07;3,67;0,0
1;Farma;13080;SECNIMAX (SECNIDAZOL) 1000MG 2COM;31305;LABORATORIO GLOBO LTDA;1,957599;4046;33,262;121,64;121,64;2627;0;7920,45;29,19;2060,2
1;Farma;13099;SECNIMAX (SECNIDAZOL) 1000MG 4COM;31305;LABORATORIO GLOBO LTDA;3,721476;365;2,621;139,26;139,26;240;0;1358,34;2,67;480,48
1;Farma;13250;AMBROXOL XPE PED 15MG/5ML 120ML GEN GLB;31305;LABORATORIO GLOBO LTDA;3,252468;276;2,175;126,9;126,9;220;0;897,68;2,44;261,03
1;Farma;13439;SINVASTACOR (SINVASTATINA) 5MG 30COM;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);6,1121;6;0,0;;9999,0;0;0;36,67;0,0;0,0
1;Farma;13455;SINVASTACOR (SINVASTATINA) 20MG 30COM;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);1,693892;1100;309,515;3,55;3,55;31657;0;1863,28;351,74;0,0
1;Farma;13587;NEOSEMID (FUROSEMIDA) 40MG 20COM;47252;HYPERA S.A;2,773243;69;2,272;30,37;30,37;207;0;191,35;2,3;0,0
1;HB;13625;ALGODAO DISCO TOPZ 100UND (LV100 PG85);791794;CREMER S.A;7,606718;177;3,252;54,43;54,43;262;0;1346,39;2,91;0,0
1;Farma;13668;FLUCOLCID (FLUCONAZOL) 150MG 2CAP;31305;LABORATORIO GLOBO LTDA;1,317864;4295;1,019;4214,92;4214,92;105;0;5660,23;1,17;5539,37
1;Farma;13803;CORTICORTEN (PREDNISONA) 5MG 20COM;47252;HYPERA S.A;3,724995;2658;51,767;51,35;51,35;4613;0;9901,04;51,26;0,0
1;Farma;13870;TERMOMETRO DIGITAL BRANCO INCOTERM;31100;INCOTERM SOLUCOES EM MEDICAO LTDA;7,897481;4909;3,631;1351,97;1351,97;332;0;38768,73;3,69;36187,91
1;Farma;13994;NIMELIT (NIMESULIDA) 100MG 12COM;30;VITAMEDIC IND FARMACEUTICA LTDA;1,337563;248;1,573;157,66;157,66;61;0;331,72;0,68;142,36
1;Farma;14176;NIMESULIDA 100MG 12COM GEN GMD;53333;GERMED FARMACEUTICA LTDA;1,409964;1592;7,699;206,78;206,78;759;0;2244,66;8,43;1267,68
1;Farma;14648;TERMOPRIN (DIPIRONA SOD) 50MG/ML 100ML;34754;CAZI QUIMICA FARMACEUTICA IND E COM LTDA;5,224013;1;0,0;;9999,0;0;0;5,22;0,0;0,0
1;Farma;14797;ROSUVASTATINA CALCICA 5MG 30COM GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;10,049492;118;0,573;205,93;205,93;52;0;1185,84;0,58;667,58
1;Farma;14810;DROSPIRENONA+ETINIL 3MG+0,02MG 24COM LEG;37273;LEGRAND PHARMA IND FARM LTDA;10,259974;74;0,214;345,79;345,79;22;0;759,24;0,24;561,63
1;Farma;14830;ESCITALOPRAM 15MG 30COM (C1) GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;11,514416;38;0,101;376,24;376,24;6;0;437,55;0,07;332,88
1;Farma;14862;LAMOTRIGINA 25MG 30COM (C1) GEN TORRENT;792019;TORRENT DO BRASIL LTDA;6,958041;7;1,068;6,55;6,55;105;0;48,71;1,17;0,0
1;Farma;14893;AMOX+CLAV POT 250+62,5MG 75ML GEN SDZ;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);15,069396;513;30,126;17,03;17,03;2785;0;7730,6;30,94;0,0
1;Farma;15334;DICLOAIR AER (D DIETILAMONIO) 11,6MG 60G;37273;LEGRAND PHARMA IND FARM LTDA;12,442262;6;0,845;7,1;7,1;84;0;74,65;0,93;0,0
1;Farma;15407;TROMETAMOL CETOROLACO 10MG 10COM GEN BIO;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;5,742811;637;21,282;29,93;29,93;1879;0;3658,17;20,88;0,0
1;Farma;15520;CAPTOPRIL 25MG 30COM GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;4,087015;272;1,864;145,92;145,92;136;0;1111,67;1,51;426,02
1;Farma;15598;CLARITROMICINA 500MG 10COM GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;35,188272;1;0,0;;9999,0;0;0;35,19;0,0;0,0
1;Farma;15601;CLARITROMICINA 500MG 14COM GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;55,260248;121;0,35;345,71;345,71;31;0;6686,49;0,34;4945,77
1;Farma;15610;DICLO DIETILAMONIO GEL 10MG/G 60G MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;8,288883;8;1,097;7,29;7,29;144;0;66,31;1,6;0,0
1;Farma;15628;DICLOFENACO POT 50MG 20COM GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;5,328897;142;15,777;9,0;9,0;1521;0;756,7;16,9;0,0
1;Farma;15644;DICLOFENACO SODICO 50MG 20COM GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;6,733436;515;3,757;137,08;137,08;326;0;3467,72;3,62;1190,99
1;Farma;15717;CLOTRIMAZOL CR DERM 10MG/G 20G GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;5,162807;5;0,699;7,15;7,15;72;0;25,81;0,8;0,0
1;Farma;15741;PARACETAMOL 750MG 20COM GEN TB;30791;LABORATORIO TEUTO BRASILEIRO S/A;2,864933;12521;58,854;212,75;212,75;5595;0;35871,83;62,17;20696,91
1;Farma;15750;PARACETAMOL 200MG/ML 15ML GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;4,947478;74;0,0;;9999,0;0;0;366,11;0,0;0,0
